1.2,0.6,3,rotated,1.5662746033484609e-07,7.9916379796159527e-06,2.6138789496607656e-06
1.2,0.6,4,petz,2.3001636151320781e-09,5.7171071950964461e-08,1.8490946651425759e-08
1.2,0.6,4,rotated,2.3001636151320781e-09,3.7738357160754014e-07,1.2235918407411879e-07
1.2,0.6,5,petz,3.5230485195825167e-11,2.2444245797992471e-09,7.2815122970498119e-10
1.2,0.6,5,rotated,3.5230485195825167e-11,1.6889252551503126e-08,5.4674739319126908e-09
1.2,0.6,6,petz,5.5067062021407764e-13,8.6777988249525828e-11,2.8303837373224733e-11
1.2,0.6,6,rotated,5.5067062021407764e-13,6.9457404125561107e-10,2.2819494041380938e-10
1.5,0.3,1,petz,5.2074810415803086e-05,2.6336675199501343e-03,3.6298747222502839e-04
1.5,0.3,1,rotated,5.2074810415803086e-05,6.2872238746089417e-04,1.0485726635924995e-04
1.5,0.3,2,petz,6.7433784778359041e-08,1.8661883176257614e-05,2.5733652184336830e-06
1.5,0.3,2,rotated,6.7433784778359041e-08,9.3583300617053713e-06,1.4952576534361285e-06
1.5,0.3,3,petz,1.2195044973850599e-10,5.4694915183424274e-08,7.6299523417979186e-09
1.5,0.3,3,rotated,1.2195044973850599e-10,1.2064828850772425e-07,1.9215007718315845e-08
1.5,0.3,4,petz,2.4868995751603507e-13,1.7226313003299173e-10,2.7097675134087678e-11
1.5,0.3,4,rotated,2.4868995751603507e-13,1.3947416602841302e-09,2.2787529329387701e-10
1.5,0.3,5,petz,2.6645352591003757e-15,1.4613176666806859e-12,2.5710776305429111e-13
1.5,0.3,5,rotated,2.6645352591003757e-15,1.5607085999066103e-11,2.7532828396310889e-12
1.5,0.3,6,petz,8.8817841970012523e-16,2.2727303730568336e-14,3.7895578361129261e-15
1.5,0.3,6,rotated,8.8817841970012523e-16,2.1476596936128645e-13,3.7714968140691973e-14
1.5,0.6,1,petz,1.5072833684262044e-03,1.2307316379629804e-02,4.3421864736727317e-03
1.5,0.6,1,rotated,1.5072833684262044e-03,8.8121138773750440e-03,3.4428747463319614e-03
1.5,0.6,2,petz,2.0537151942168208e-05,3.5589709955025897e-04,1.2458091927360635e-04
1.5,0.6,2,rotated,2.0537151942168208e-05,2.8993151521233476e-04,1.1379328527575002e-04
1.5,0.6,3,petz,3.6349557808179611e-07,5.4463553628920999e-06,1.9697229892267785e-06
1.5,0.6,3,rotated,3.6349557808179611e-07,1.4167758071808826e-05,5.7004064847114229e-06
1.5,0.6,4,petz,7.1415824365317349e-09,1.4066766733338439e-07,5.6349876923186594e-08
1.5,0.6,4,rotated,7.1415824365317349e-09,8.3599796454599696e-07,3.3678140633541159e-07
1.5,0.6,5,petz,1.4638334988603674e-10,6.9424611454232510e-09,2.7743697258066526e-09
1.5,0.6,5,rotated,1.4638334988603674e-10,4.3436128834168966e-08,1.7735398702226167e-08
1.5,0.6,6,petz,3.0717650645328831e-12,3.3462122920699738e-10,1.3736643567652562e-10
1.5,0.6,6,rotated,3.0717650645328831e-12,2.2594995793757484e-09,9.3717649043085247e-10
1.2,1.0,1,petz,8.3114676490092521e-03,2.5289136687735719e-02,1.3698076436866947e-02
1.2,1.0,2,petz,3.7997986644944248e-04,1.6572538650523735e-03,8.4951128151499464e-04
1.2,1.0,3,petz,2.0806928195060692e-05,7.5807360064431112e-05,4.2519674532065881e-05
1.2,1.0,4,petz,1.2391678310130771e-06,5.2054159530760948e-06,2.9347727385753376e-06
1.2,1.0,5,petz,7.6316880814886190e-08,4.9420117391377479e-07,2.7843033628640538e-07
1.2,1.0,6,petz,4.7764787680648624e-09,4.7340953174642102e-08,2.6893182587270792e-08
1.2,1.5,1,petz,2.4277140010373843e-02,4.6748752638259936e-02,3.6829672278770126e-02
1.2,1.5,2,petz,2.8244814445486099e-03,5.7502681464367735e-03,4.1777190808432330e-03
1.2,1.5,3,petz,3.7031660610531425e-04,6.8982602712789492e-04,5.2928135580079523e-04
1.2,1.5,4,petz,5.1346958771070206e-05,1.0751642761979215e-04,8.0485822211912717e-05
1.2,1.5,5,petz,7.2733813767378308e-06,1.8528789624774691e-05,1.3833891035023813e-05
1.2,1.5,6,petz,1.0329088098171013e-06,3.2859176249026751e-06,2.4732731970180818e-06
1.2,2.0,1,petz,4.1491114023090914e-02,6.7352760245342841e-02,6.2279223275954879e-02
1.2,2.0,2,petz,7.7667156695488959e-03,1.0993963670970214e-02,9.5208756670103010e-03
1.2,2.0,3,petz,1.6443536619268340e-03,2.3285895702355084e-03,2.0407226265321348e-03
1.2,2.0,4,petz,3.6216435963964955e-04,5.9022264832490467e-04,5.0707245962503574e-04
1.2,2.0,5,petz,8.0727426844839911e-05,1.5089384860586132e-04,1.2754070376255733e-04
1.2,2.0,6,petz,1.7839521162965610e-05,3.9642887299001266e-05,3.3838877273838097e-05
1.5,1.0,1,petz,9.1686413439813208e-03,2.8704703902871796e-02,1.9525684565847839e-02
1.5,1.0,2,petz,5.1024248615405554e-04,2.3672058815693039e-03,1.6012377467566426e-03
1.5,1.0,3,petz,3.2969683357197965e-05,1.1912291501986645e-04,7.6575271362546547e-05
1.5,1.0,4,petz,2.3246207545568609e-06,1.1963348869723597e-05,8.3122600219520487e-06
1.5,1.0,5,petz,1.6949119174825000e-07,1.3672986484302059e-06,9.7030155908776732e-07
1.5,1.0,6,petz,1.2535682714087670e-08,1.5368951037000630e-07,1.1302655540801298e-07
1.5,1.5,1,petz,2.3428697930625964e-02,4.8431441557107935e-02,4.5363156044525697e-02
